<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
19/08/18;000000;6396.6300000;6547.3400000;6328.4500000;6489.5300000;4106
20/08/18;000000;6489.5300000;6525.0000000;6227.7100000;6258.7400000;6300
21/08/18;000000;6258.7400000;6490.0000000;6249.1200000;6475.8900000;6626
22/08/18;000000;6475.8900000;6890.6500000;6250.0000000;6359.9900000;15769
23/08/18;000000;6359.9900000;6568.3700000;6348.6900000;6526.3600000;6248
24/08/18;000000;6526.3600000;6719.0000000;6451.5500000;6690.8800000;6894
25/08/18;000000;6690.8800000;6790.0000000;6668.0000000;6737.5200000;4647
26/08/18;000000;6737.5200000;6773.0000000;6572.0000000;6709.9800000;4751
27/08/18;000000;6709.9800000;6947.6000000;6654.1300000;6911.9000000;5697
28/08/18;000000;6911.9000000;7128.0000000;6864.9600000;7071.0100000;11364
29/08/18;000000;7071.0100000;7119.0000000;6907.4200000;7030.9000000;7497
30/08/18;000000;7030.9200000;7048.6600000;6790.0000000;6983.0000000;8015
31/08/18;000000;6983.0000000;7090.4600000;6884.4900000;7015.0100000;7572
01/09/18;000000;7015.0100000;7275.0000000;7010.9800000;7191.0800000;6076
02/09/18;000000;7191.0700000;7328.3600000;7130.0000000;7295.0000000;5331
03/09/18;000000;7294.9900000;7332.4600000;7192.9900000;7256.9800000;5587
04/09/18;000000;7256.4800000;7402.5000000;7229.9400000;7360.0000000;7691
05/09/18;000000;7359.9900000;7384.0000000;6664.0700000;6687.9600000;14200
06/09/18;000000;6687.9600000;6703.7300000;6272.7300000;6495.0000000;18340
07/09/18;000000;6495.0000000;6530.0000000;6325.0000000;6395.0100000;8021
08/09/18;000000;6395.0100000;6460.0000000;6116.0000000;6188.0000000;7221
09/09/18;000000;6188.0000000;6450.0000000;6147.0000000;6235.0100000;5553
10/09/18;000000;6235.0200000;6375.1300000;6221.4900000;6300.0000000;6743
11/09/18;000000;6300.0000000;6405.0000000;6176.7600000;6282.5300000;7264
12/09/18;000000;6282.5300000;6340.9400000;6191.1000000;6326.0000000;7172
13/09/18;000000;6326.0000000;6530.0000000;6323.6400000;6485.9900000;9407
14/09/18;000000;6485.9900000;6580.0000000;6378.0500000;6478.0400000;7296
15/09/18;000000;6478.0500000;6565.0000000;6470.0000000;6518.6800000;3225
16/09/18;000000;6518.6800000;6521.7500000;6323.6800000;6498.0000000;3338
17/09/18;000000;6498.0000000;6529.7500000;6207.5500000;6250.7000000;9005
18/09/18;000000;6250.7100000;6384.0400000;6228.0000000;6335.7000000;5907
19/09/18;000000;6335.6900000;6511.0000000;6106.3700000;6386.9400000;10479
20/09/18;000000;6386.9500000;6530.0000000;6337.0000000;6493.1100000;6099
21/09/18;000000;6493.1100000;6777.1000000;6492.5000000;6750.0000000;11061
22/09/18;000000;6750.0000000;6823.0000000;6628.0100000;6707.3300000;5117
23/09/18;000000;6707.3400000;6777.0000000;6660.0500000;6696.9900000;3205
24/09/18;000000;6696.9900000;6716.1600000;6555.9900000;6582.0900000;5173
25/09/18;000000;6582.0900000;6582.1000000;6320.5000000;6436.8900000;9159
26/09/18;000000;6435.0000000;6537.2600000;6380.6200000;6455.6600000;5545
27/09/18;000000;6455.6500000;6734.7900000;6430.0000000;6680.0100000;7519
28/09/18;000000;6680.0100000;6786.7300000;6528.1300000;6620.0100000;8824
29/09/18;000000;6620.0100000;6620.0100000;6452.0200000;6581.0000000;4143
30/09/18;000000;6581.0000000;6642.2800000;6523.0000000;6605.0000000;3408
